edge_id,from_node_id,to_node_id,区域ID,区域名,方向,车道数,长度,轨迹,judgment,道路名称,道路等级
'801546986',7497044397,cluster_3510548309_7497044399,320508,姑苏区,南S,3,14.44,"MULTILINESTRING((120.63071144018227 31.311149230424373, 120.63076877183443 31.311028619588463))",driveway,无名,巷（弄）
'801546987',cluster_7497044400_cluster_1315251491_7497044396,cluster_1282714386_7497044401,320508,姑苏区,东E,5,16.71,"MULTILINESTRING((120.63022012700482 31.310691814144135, 120.63038201764601 31.310750181297152))",driveway,干将东路,主干路
'801546989#0',7497044402,cluster_7745754932_7745754935,320508,姑苏区,东E,6,9.59,"MULTILINESTRING((120.63370744771682 31.31154110244336, 120.63380725583613 31.311553314759077))",driveway,干将东路,主干路
'801546989#1',cluster_7745754932_7745754935,7497044403,320508,姑苏区,东E,6,10.1,"MULTILINESTRING((120.63397093067935 31.311574100212084, 120.63407668119284 31.311588135525508))",driveway,干将东路,主干路
'801546990#0',7497044403,cluster_2814988873_653812688,320508,姑苏区,东E,6,20.83,"MULTILINESTRING((120.6340797172505 31.31158855226413, 120.63417332356748 31.31160092054433, 120.63429637288453 31.311624744754717))",driveway,干将东路,主干路
'801546990#1',cluster_2814988873_653812688,5868817052,320508,姑苏区,东E,5,79.02,"MULTILINESTRING((120.63451367239568 31.31168981027751, 120.63463464028561 31.31172126214806, 120.63498286926395 31.311822742431705, 120.63530042236941 31.31192428792109))",driveway,干将东路,主干路
'801546990#2',5868817052,4483338457,320508,姑苏区,东E,5,99.85,"MULTILINESTRING((120.63530333992112 31.311925243601422, 120.63550062361641 31.31198840541823, 120.63580776585809 31.31207361345004, 120.63630200244278 31.312184183498154))",driveway,干将东路,主干路
'801546990#3',4483338457,653812694,320508,姑苏区,东E,5,82.53,"MULTILINESTRING((120.63630534453294 31.312184966590628, 120.63714285812709 31.312376805220424))",driveway,干将东路,主干路
'801546992',cluster_cluster_4400766782_833668194_cluster_7497044405_7497044407,cluster_7497044404_cluster_5293079868_803325064,320508,姑苏区,西W,5,18.04,"MULTILINESTRING((120.60865357058576 31.3024953522054, 120.60846329763491 31.30248468209581))",driveway,道前街,次干路
'801546994',7497044406,cluster_cluster_4400766782_833668194_cluster_7497044405_7497044407,320508,姑苏区,东E,4,11.74,"MULTILINESTRING((120.60854428473465 31.30230589801082, 120.60866743638225 31.302312431400164))",driveway,道前街,次干路
'801546995',cluster_7497044404_cluster_5293079868_803325064,7497044406,320508,姑苏区,东E,4,5.53,"MULTILINESTRING((120.60848306148115 31.302301149679653, 120.60854082233023 31.30230574331099))",driveway,道前街,次干路
'801546997#0',cluster_7497044404_cluster_5293079868_803325064,5868813716,320508,姑苏区,北N,3,253.93,"MULTILINESTRING((120.60841712552276 31.302503663969844, 120.60828224347014 31.30314412651976, 120.60810543505423 31.30415494579217, 120.60801950075256 31.30476619595668))",driveway,学士街,支路
'801546997#1',5868813716,cluster_3510548324_566899866,320508,姑苏区,北N,3,225.42,"MULTILINESTRING((120.60801912424496 31.304768624111865, 120.60774790547087 31.30678782803505))",driveway,学士街,支路
'801546998#0',cluster_7497044404_cluster_5293079868_803325064,4463418106,320508,姑苏区,西W,4,67.04,"MULTILINESTRING((120.60828742612128 31.30246111207826, 120.60758532151411 31.302416099961523))",driveway,道前街,次干路
'801546998#1',4463418106,566834134,320508,姑苏区,西W,4,156.24,"MULTILINESTRING((120.60758217635933 31.302415860957215, 120.60594603492099 31.302309504106635))",driveway,道前街,次干路
'801547003',4380951298,566834114,320508,姑苏区,东E,3,79.96,"MULTILINESTRING((120.63997757726504 31.301473373501405, 120.64076245125149 31.301417992424817, 120.6408140658089 31.301412176618694))",driveway,葑门路,次干路
'801547005',cluster_5872723373_gneJ107,cluster_653812602_gneJ97,320508,姑苏区,西W,4,120.57,"MULTILINESTRING((120.62751223097149 31.311559940128625, 120.6274899848352 31.311571524424515, 120.62745019655746 31.311583054998042, 120.6274119383492 31.31158802982519, 120.62738322755145 31.311589302887583, 120.62734920460498 31.3115887640865, 120.6273198560178 31.311586147085283, 120.6272586681938 31.31157969451867, 120.62681429872666 31.311500316658577, 120.62624940644977 31.311409598754956))",driveway,无名,次干路
'801547007#0',cluster_cluster_cluster_566899930_7780453570_cluster_7780453569_803320699_gneJ108,653812588,320508,姑苏区,东E,5,66.32,"MULTILINESTRING((120.62788653826368 31.310202072567257, 120.62796012992752 31.310212361742973, 120.62857454511675 31.310292712996166))",driveway,干将东路,主干路
'801547007#1',653812588,cluster_7497044400_cluster_1315251491_7497044396,320508,姑苏区,东E,5,146.51,"MULTILINESTRING((120.6285798820781 31.310293533146407, 120.62903356936872 31.310361442114864, 120.62925889520784 31.31040357545024, 120.62944989832916 31.310448772313123, 120.62967846597343 31.31050828169099, 120.63002860254875 31.310621264784057, 120.63007210689193 31.310637490995042))",driveway,干将东路,主干路
