line_id,line_name,station_id,station_name,station_sequence,gd_longitude,gd_latitude,longitude,latitude
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10131327,南环新村,33,120.633403,31.280265,120.62921264789888,31.282434870443424
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV11100336,汽车南站2,34,120.638199,31.279076,120.63400182591795,31.28123959375869
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10959438,迎春路吴中东路,35,120.638615,31.273555,120.63441764190311,31.275720280405356
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10959440,迎春路宝带东路北,36,120.63908,31.269831,120.63488222996318,31.271997157468437
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129959,文曲路,37,120.639852,31.264731,120.63565344315755,31.266898167790725
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129960,澹台湖大桥,38,120.641467,31.254358,120.6372667161598,31.256527188142886
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10964881,迎春南路石湖路北,39,120.642222,31.251749,120.63802070015859,31.25391815633503
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129963,适新科技,40,120.643681,31.248924,120.63947751105205,31.25109209015214
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129973,大华酒店用品市场,41,120.642639,31.245123,120.63843755577076,31.24729444480199
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130476,天灵路,42,120.636801,31.245855,120.63260863253957,31.24803494339773
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130557,枫津路,43,120.635262,31.248854,120.63107162003611,31.251034789317142
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130556,吴中汽车站南,44,120.631615,31.248845,120.62742958974933,31.251030701434072
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10130556,吴中汽车站南,1,120.631416,31.248779,120.6272308527775,31.250964987470255
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10130557,枫津路,2,120.634651,31.248789,120.63046148976547,31.25097066673688
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10130476,天灵路,3,120.636673,31.246481,120.6324807700613,31.248660847654566
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129973,大华酒店用品市场,4,120.641998,31.245064,120.6377976125629,31.247236480124933
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129963,适新科技,5,120.643997,31.247774,120.63979307334115,31.24994209354628
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10964881,迎春南路石湖路北,6,120.641869,31.252422,120.63766822185785,31.25459141289992
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129960,澹台湖大桥,7,120.641428,31.25605,120.63722764098729,31.25821850753042
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129959,文曲路,8,120.64003,31.264284,120.63583119966917,31.26645108928042
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10959440,迎春路宝带东路北,9,120.639232,31.269306,120.63503403732109,31.271472152159436
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10959438,迎春路吴中东路,10,120.638685,31.273889,120.63448750722361,31.276054036196083
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129769,汽车南站,11,120.638397,31.277929,120.63419961801331,31.280092776997414
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10131327,南环新村,12,120.633281,31.28046,120.62909079790269,31.282629953828753
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129795,团结桥东,13,120.628919,31.280074,120.62473441069962,31.2822496841624
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10130310,团结桥北,14,120.626128,31.281806,120.62194646520011,31.283984225005423
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10130306,人民桥南,15,120.625629,31.285213,120.6214477264733,31.28739038469906
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10130305,南门,16,120.624763,31.290787,120.62058218374845,31.292963071535322
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10130460,工人文化宫,17,120.624349,31.293954,120.62016835062899,31.296129246001133
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10849175,三元坊,18,120.623854,31.296884,120.61967361079539,31.299058603718986
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10849375,苏州图书馆,19,120.623589,31.298976,120.61940870323511,31.301150054164665
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129905,饮马桥,20,120.622986,31.303073,120.61880595680289,31.305246069870723
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129881,乐桥北,21,120.622144,31.307778,120.61796436824879,31.309950093994317
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129910,察院场观前街西,22,120.621124,31.311927,120.61694495291717,31.31409849757255
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129596,接驾桥,23,120.620586,31.315595,120.61640712264398,31.31776561918483
320500010938,101路(吴中汽车站南--城北西路首末站),320500010938_BV10129589,北寺塔,24,120.620022,31.319796,120.6158432580928,31.321965571176257
