line_id,line_name,line_type,start_stop,end_stop,start_time,end_time,basic_price,total_price,distance
900000088567,9008路社区巴士(欧尚超市西--苏州旅游集散中心首末站),[],欧尚超市西,苏州旅游集散中心首末站,[],[],1,1,9.51607
900000071618,9008路社区巴士(苏州旅游集散中心首末站--欧尚超市),[],苏州旅游集散中心首末站,欧尚超市,[],[],1,1,7.77501
900000072966,9009路社区巴士(苏安首末站--苏安首末站),普通公交,苏安首末站,苏安首末站,0630,2000,1,1,9.87409
900000074424,9010路社区巴士(南环桥--南环桥),[],南环桥,南环桥,[],[],1,1,10.85108
900000074812,9011路社区巴士(轮船码头首末站--轮船码头首末站),[],轮船码头首末站,轮船码头首末站,[],[],0,1,5.42554
900000126767,9016路社区巴士(钱万里桥南--钱万里桥南),[],钱万里桥南,钱万里桥南,0600,2100,1,1,19.84255
900000158983,9018路社区巴士(葑门首末站--葑门首末站),普通公交,葑门首末站,葑门首末站,0630,1900,1,1,9.83561
900000031294,9025路社区巴士(苏州站北广场西公交枢纽--苏州站北广场西公交枢纽),[],苏州站北广场西公交枢纽,苏州站北广场西公交枢纽,0600,1930,1,1,17.91400
900000027128,900路(北线)(南环桥--南环桥),普通公交,南环桥,南环桥,0600,2000,2,2,28.18966
320500010911,900路(南线)(南环桥--华东装饰城),普通公交,南环桥,华东装饰城,0600,2000,2,2,24.40924
320500010156,970路(东线)(解放西路换乘枢纽站--解放西路换乘枢纽站),普通公交,解放西路换乘枢纽站,解放西路换乘枢纽站,0600,2015,2,2,24.58068
320500010342,970路(西线)(解放西路换乘枢纽站--解放西路换乘枢纽站),普通公交,解放西路换乘枢纽站,解放西路换乘枢纽站,0600,2015,2,2,24.67049
320500010339,980路(东线)(平海路首末站东--汇翠花园),普通公交,平海路首末站东,汇翠花园,0530,2130,2,2,17.67850
320500010698,980路(西线)(平海路首末站--平海路首末站东),普通公交,平海路首末站,平海路首末站东,0530,2130,2,2,18.27597
900000085131,9005路社区巴士(北线)(轮船码头首末站--轮船码头首末站),[],轮船码头首末站,轮船码头首末站,0630,2000,1,1,9.18708
900000127553,9025路(区间)社区巴士(市立医院东区--市立医院东区),普通公交,市立医院东区,市立医院东区,[],[],1,1,2.36917
900000127553,9025路(区间)社区巴士(市立医院东区--市立医院东区),普通公交,市立医院东区,市立医院东区,[],[],1,1,2.36917
900000140258,9003路高峰支线(十中定制公交专线)(乐桥--大公园),普通公交,乐桥,大公园,[],[],1,1,5.33035
900000158983,9018路社区巴士(葑门首末站--葑门首末站),普通公交,葑门首末站,葑门首末站,0630,1900,1,1,9.83561
320500022829,轨道交通1号线(钟南街--木渎),地铁,钟南街,木渎,[],[],2,6,25.11037
320500022828,轨道交通1号线(木渎--钟南街),地铁,木渎,钟南街,[],[],2,6,25.11037
320500022811,轨道交通4号线(同里--龙道浜),地铁,同里,龙道浜,[],[],2,8,41.31772
320500022810,轨道交通4号线(龙道浜--同里),地铁,龙道浜,同里,[],[],2,8,41.31772
900000055757,轨道交通5号线(阳澄湖南--太湖香山),地铁,阳澄湖南,太湖香山,[],[],2,8,43.54580
900000055756,轨道交通5号线(太湖香山--阳澄湖南),地铁,太湖香山,阳澄湖南,[],[],2,8,43.54580
900000144774,好行夜2线(汽车北站换乘中心--汽车北站换乘中心),普通公交,汽车北站换乘中心,汽车北站换乘中心,1900,2330,0,0,7.99796
900000045732,好行1号线北线(拙政园换乘中心--拙政园换乘中心),旅游专线,拙政园换乘中心,拙政园换乘中心,0830,1630,3,3,29.68545
900000045733,好行1号线南线(拙政园换乘中心--拙政园换乘中心),旅游专线,拙政园换乘中心,拙政园换乘中心,0845,1645,3,3,28.73544
320500022811,轨道交通4号线(同里--龙道浜),地铁,同里,龙道浜,[],[],2,8,41.31772
320500022810,轨道交通4号线(龙道浜--同里),地铁,龙道浜,同里,[],[],2,8,41.31772
