odtaz_timeslot,o2d_taz,timeslot,ODcount
"43-46,19-24",43-46,19-24,24
"43-46,7-9",43-46,7-9,12
"43-47,0-7",43-47,0-7,48
"43-52,9-17",43-52,9-17,12
"43-61,17-19",43-61,17-19,12
"43-7,9-17",43-7,9-17,36
"43-85,9-17",43-85,9-17,12
"44-1,17-19",44-1,17-19,12
"44-1,9-17",44-1,9-17,12
"44-10,19-24",44-10,19-24,12
"44-1013,0-7",44-1013,0-7,12
"44-1013,9-17",44-1013,9-17,36
"44-104,9-17",44-104,9-17,12
"44-116,0-7",44-116,0-7,12
"44-128,9-17",44-128,9-17,12
"44-156,17-19",44-156,17-19,12
"44-156,19-24",44-156,19-24,12
"44-156,9-17",44-156,9-17,12
"44-164,7-9",44-164,7-9,8
"44-164,9-17",44-164,9-17,12
"44-201,7-9",44-201,7-9,12
"44-201,9-17",44-201,9-17,24
"44-45,0-7",44-45,0-7,12
"44-7,19-24",44-7,19-24,12
"44-7,9-17",44-7,9-17,12
"44-87,7-9",44-87,7-9,12
"45-1,19-24",45-1,19-24,12
"45-1,7-9",45-1,7-9,12
"45-1,9-17",45-1,9-17,24
"45-10,17-19",45-10,17-19,12
"45-1013,9-17",45-1013,9-17,12
"45-104,9-17",45-104,9-17,10
"45-131,9-17",45-131,9-17,12
"45-132,0-7",45-132,0-7,12
"45-142,0-7",45-142,0-7,12
"45-142,9-17",45-142,9-17,12
"45-184,9-17",45-184,9-17,12
"45-199,7-9",45-199,7-9,12
"45-201,19-24",45-201,19-24,12
"45-21,9-17",45-21,9-17,12
"45-22,0-7",45-22,0-7,12
"45-3,9-17",45-3,9-17,24
"45-32,9-17",45-32,9-17,12
"45-47,0-7",45-47,0-7,24
"45-47,17-19",45-47,17-19,24
"45-48,7-9",45-48,7-9,12
"45-62,9-17",45-62,9-17,12
"45-65,9-17",45-65,9-17,12
"45-7,0-7",45-7,0-7,36
"45-7,17-19",45-7,17-19,12
"45-7,9-17",45-7,9-17,24
"45-76,7-9",45-76,7-9,24
"45-84,19-24",45-84,19-24,12
"45-84,9-17",45-84,9-17,12
"45-85,7-9",45-85,7-9,12
"45-97,0-7",45-97,0-7,12
"46-1,0-7",46-1,0-7,120
"46-1,17-19",46-1,17-19,72
"46-1,19-24",46-1,19-24,132
"46-1,7-9",46-1,7-9,120
"46-1,9-17",46-1,9-17,228
"46-10,0-7",46-10,0-7,12
"46-10,17-19",46-10,17-19,24
"46-10,19-24",46-10,19-24,12
"46-10,7-9",46-10,7-9,12
"46-10,9-17",46-10,9-17,36
"46-1001,17-19",46-1001,17-19,12
"46-1003,17-19",46-1003,17-19,12
"46-1003,9-17",46-1003,9-17,24
"46-1009,17-19",46-1009,17-19,12
"46-1009,19-24",46-1009,19-24,12
"46-1009,9-17",46-1009,9-17,12
"46-1011,9-17",46-1011,9-17,12
"46-1013,0-7",46-1013,0-7,96
"46-1013,17-19",46-1013,17-19,180
"46-1013,19-24",46-1013,19-24,240
"46-1013,7-9",46-1013,7-9,180
"46-1013,9-17",46-1013,9-17,660
"46-104,19-24",46-104,19-24,12
"46-113,9-17",46-113,9-17,12
"46-114,17-19",46-114,17-19,12
"46-114,7-9",46-114,7-9,12
"46-144,19-24",46-144,19-24,9
"46-153,9-17",46-153,9-17,12
"46-156,19-24",46-156,19-24,12
"46-164,19-24",46-164,19-24,24
"46-164,9-17",46-164,9-17,48
"46-17,0-7",46-17,0-7,24
"46-17,19-24",46-17,19-24,24
"46-17,9-17",46-17,9-17,12
"46-184,9-17",46-184,9-17,12
"46-2,0-7",46-2,0-7,24
"46-2,19-24",46-2,19-24,60
"46-2,7-9",46-2,7-9,12
"46-2,9-17",46-2,9-17,48
"46-205,9-17",46-205,9-17,12
"46-22,0-7",46-22,0-7,12
"46-3,0-7",46-3,0-7,156
"46-3,17-19",46-3,17-19,72
"46-3,19-24",46-3,19-24,108
"46-3,7-9",46-3,7-9,168
"46-3,9-17",46-3,9-17,504
"46-32,0-7",46-32,0-7,12
"46-33,9-17",46-33,9-17,12
"46-42,9-17",46-42,9-17,24
"46-43,7-9",46-43,7-9,12
"46-44,9-17",46-44,9-17,12
"46-47,0-7",46-47,0-7,48
"46-47,17-19",46-47,17-19,24
"46-47,19-24",46-47,19-24,12
"46-47,9-17",46-47,9-17,24
"46-48,17-19",46-48,17-19,12
"46-49,0-7",46-49,0-7,12
"46-52,0-7",46-52,0-7,12
"46-6,9-17",46-6,9-17,12
"46-7,0-7",46-7,0-7,204
"46-7,17-19",46-7,17-19,108
"46-7,19-24",46-7,19-24,276
"46-7,7-9",46-7,7-9,120
"46-7,9-17",46-7,9-17,744
"46-8,17-19",46-8,17-19,12
"46-8,9-17",46-8,9-17,24
"46-83,9-17",46-83,9-17,12
"46-84,0-7",46-84,0-7,12
"46-84,19-24",46-84,19-24,24
"46-84,7-9",46-84,7-9,12
"46-84,9-17",46-84,9-17,120
"46-85,0-7",46-85,0-7,72
"46-85,19-24",46-85,19-24,84
"46-85,7-9",46-85,7-9,60
"46-85,9-17",46-85,9-17,264
"46-87,17-19",46-87,17-19,12
"46-87,19-24",46-87,19-24,12
"46-87,9-17",46-87,9-17,24
"46-89,9-17",46-89,9-17,12
"47-1,17-19",47-1,17-19,12
"47-1,19-24",47-1,19-24,48
"47-1,7-9",47-1,7-9,12
"47-1,9-17",47-1,9-17,72
"47-10,17-19",47-10,17-19,36
"47-10,19-24",47-10,19-24,12
"47-10,7-9",47-10,7-9,12
"47-10,9-17",47-10,9-17,36
"47-100,9-17",47-100,9-17,12
"47-1002,9-17",47-1002,9-17,24
"47-1003,19-24",47-1003,19-24,24
"47-1003,7-9",47-1003,7-9,12
"47-1003,9-17",47-1003,9-17,24
"47-1004,9-17",47-1004,9-17,12
"47-1005,0-7",47-1005,0-7,12
"47-1009,0-7",47-1009,0-7,12
"47-1009,19-24",47-1009,19-24,56
"47-1009,9-17",47-1009,9-17,12
"47-1013,0-7",47-1013,0-7,48
"47-1013,17-19",47-1013,17-19,12
"47-1013,19-24",47-1013,19-24,84
"47-1013,7-9",47-1013,7-9,60
"47-1013,9-17",47-1013,9-17,144
"47-1015,17-19",47-1015,17-19,12
"47-1015,19-24",47-1015,19-24,12
"47-1015,9-17",47-1015,9-17,12
"47-104,19-24",47-104,19-24,36
"47-104,9-17",47-104,9-17,12
"47-108,19-24",47-108,19-24,12
"47-113,17-19",47-113,17-19,12
"47-113,19-24",47-113,19-24,12
"47-113,9-17",47-113,9-17,12
"47-114,0-7",47-114,0-7,24
"47-114,9-17",47-114,9-17,21
"47-116,0-7",47-116,0-7,12
"47-116,19-24",47-116,19-24,12
"47-128,0-7",47-128,0-7,12
"47-129,0-7",47-129,0-7,10
"47-129,19-24",47-129,19-24,20
"47-131,0-7",47-131,0-7,12
"47-132,0-7",47-132,0-7,12
"47-132,19-24",47-132,19-24,12
"47-138,0-7",47-138,0-7,12
"47-140,19-24",47-140,19-24,12
"47-142,0-7",47-142,0-7,12
"47-144,0-7",47-144,0-7,24
"47-144,17-19",47-144,17-19,9
"47-144,19-24",47-144,19-24,8
"47-144,9-17",47-144,9-17,24
"47-146,19-24",47-146,19-24,12
"47-149,19-24",47-149,19-24,12
"47-149,7-9",47-149,7-9,12
"47-151,9-17",47-151,9-17,12
"47-156,19-24",47-156,19-24,24
"47-156,7-9",47-156,7-9,24
"47-156,9-17",47-156,9-17,24
"47-164,0-7",47-164,0-7,22
"47-164,17-19",47-164,17-19,12
"47-164,19-24",47-164,19-24,34
"47-165,0-7",47-165,0-7,24
"47-165,19-24",47-165,19-24,12
"47-165,9-17",47-165,9-17,24
"47-168,19-24",47-168,19-24,12
"47-169,0-7",47-169,0-7,12
"47-169,19-24",47-169,19-24,12
"47-169,9-17",47-169,9-17,24
"47-17,0-7",47-17,0-7,12
"47-17,7-9",47-17,7-9,12
"47-17,9-17",47-17,9-17,12
"47-186,7-9",47-186,7-9,9
"47-187,9-17",47-187,9-17,12
"47-19,19-24",47-19,19-24,8
"47-19,9-17",47-19,9-17,12
"47-194,0-7",47-194,0-7,12
"47-196,0-7",47-196,0-7,12
"47-197,19-24",47-197,19-24,9
"47-198,0-7",47-198,0-7,8
"47-198,19-24",47-198,19-24,24
"47-198,9-17",47-198,9-17,12
"47-199,0-7",47-199,0-7,36
"47-199,19-24",47-199,19-24,48
"47-199,7-9",47-199,7-9,12
"47-199,9-17",47-199,9-17,48
"47-2,17-19",47-2,17-19,12
"47-2,19-24",47-2,19-24,12
"47-2,7-9",47-2,7-9,12
"47-2,9-17",47-2,9-17,24
"47-200,0-7",47-200,0-7,48
"47-200,17-19",47-200,17-19,22
"47-200,19-24",47-200,19-24,42
"47-200,7-9",47-200,7-9,12
"47-200,9-17",47-200,9-17,24
"47-201,0-7",47-201,0-7,48
"47-201,17-19",47-201,17-19,12
"47-201,19-24",47-201,19-24,42
"47-201,7-9",47-201,7-9,8
"47-201,9-17",47-201,9-17,24
"47-203,0-7",47-203,0-7,60
"47-203,17-19",47-203,17-19,7
"47-203,19-24",47-203,19-24,97
"47-203,7-9",47-203,7-9,24
"47-203,9-17",47-203,9-17,44
"47-204,0-7",47-204,0-7,10
"47-204,19-24",47-204,19-24,12
"47-204,7-9",47-204,7-9,12
"47-205,0-7",47-205,0-7,20
"47-21,19-24",47-21,19-24,24
"47-21,7-9",47-21,7-9,12
"47-21,9-17",47-21,9-17,9
"47-22,0-7",47-22,0-7,12
"47-22,19-24",47-22,19-24,24
"47-22,7-9",47-22,7-9,12
"47-22,9-17",47-22,9-17,12
"47-24,9-17",47-24,9-17,24
"47-26,9-17",47-26,9-17,12
"47-28,9-17",47-28,9-17,12
"47-3,0-7",47-3,0-7,180
"47-3,17-19",47-3,17-19,324
"47-3,19-24",47-3,19-24,252
"47-3,9-17",47-3,9-17,600
"47-30,19-24",47-30,19-24,12
"47-32,17-19",47-32,17-19,11
"47-32,19-24",47-32,19-24,43
"47-32,9-17",47-32,9-17,12
"47-33,19-24",47-33,19-24,12
"47-33,7-9",47-33,7-9,12
"47-33,9-17",47-33,9-17,24
"47-35,0-7",47-35,0-7,12
"47-36,19-24",47-36,19-24,12
"47-37,9-17",47-37,9-17,9
"47-39,0-7",47-39,0-7,12
"47-39,19-24",47-39,19-24,12
"47-43,19-24",47-43,19-24,24
"47-45,9-17",47-45,9-17,12
"47-46,17-19",47-46,17-19,12
"47-46,19-24",47-46,19-24,24
"47-47,19-24",47-47,19-24,24
"47-52,7-9",47-52,7-9,12
"47-52,9-17",47-52,9-17,24
"47-53,9-17",47-53,9-17,12
"47-54,0-7",47-54,0-7,12
"47-55,17-19",47-55,17-19,12
"47-55,7-9",47-55,7-9,12
"47-57,9-17",47-57,9-17,12
"47-58,17-19",47-58,17-19,12
"47-61,9-17",47-61,9-17,12
"47-62,0-7",47-62,0-7,12
"47-62,7-9",47-62,7-9,12
"47-62,9-17",47-62,9-17,12
"47-63,9-17",47-63,9-17,24
"47-64,9-17",47-64,9-17,24
"47-7,0-7",47-7,0-7,96
"47-7,17-19",47-7,17-19,120
"47-7,19-24",47-7,19-24,132
"47-7,7-9",47-7,7-9,36
"47-7,9-17",47-7,9-17,252
"47-72,19-24",47-72,19-24,12
"47-73,7-9",47-73,7-9,12
"47-74,7-9",47-74,7-9,24
"47-77,19-24",47-77,19-24,24
"47-79,17-19",47-79,17-19,36
"47-81,9-17",47-81,9-17,24
"47-83,0-7",47-83,0-7,36
"47-83,17-19",47-83,17-19,12
"47-83,19-24",47-83,19-24,156
"47-83,7-9",47-83,7-9,84
"47-83,9-17",47-83,9-17,252
"47-84,0-7",47-84,0-7,36
"47-84,17-19",47-84,17-19,36
"47-84,19-24",47-84,19-24,72
"47-84,7-9",47-84,7-9,72
"47-84,9-17",47-84,9-17,144
"47-85,0-7",47-85,0-7,96
"47-85,17-19",47-85,17-19,68
"47-85,19-24",47-85,19-24,348
"47-85,7-9",47-85,7-9,156
"47-85,9-17",47-85,9-17,900
"47-87,7-9",47-87,7-9,12
"47-87,9-17",47-87,9-17,36
"47-90,0-7",47-90,0-7,12
"47-98,19-24",47-98,19-24,12
"47-99,9-17",47-99,9-17,12
"48-1,0-7",48-1,0-7,12
"48-1010,7-9",48-1010,7-9,12
"48-1013,7-9",48-1013,7-9,12
"48-41,9-17",48-41,9-17,12
"48-46,19-24",48-46,19-24,12
"48-47,0-7",48-47,0-7,12
"48-84,7-9",48-84,7-9,24
"48-85,17-19",48-85,17-19,12
"48-85,19-24",48-85,19-24,12
"49-104,9-17",49-104,9-17,12
"49-62,0-7",49-62,0-7,12
"5-1007,19-24",5-1007,19-24,12
"5-17,19-24",5-17,19-24,12
"5-32,7-9",5-32,7-9,12
"5-47,9-17",5-47,9-17,12
"5-91,9-17",5-91,9-17,12
"50-142,0-7",50-142,0-7,12
"50-144,0-7",50-144,0-7,12
"50-17,0-7",50-17,0-7,12
"50-201,0-7",50-201,0-7,12
"50-203,0-7",50-203,0-7,12
"50-204,0-7",50-204,0-7,12
"51-104,0-7",51-104,0-7,12
"51-21,0-7",51-21,0-7,12
"52-10,17-19",52-10,17-19,12
"52-1005,0-7",52-1005,0-7,10
"52-1009,19-24",52-1009,19-24,12
"52-1013,9-17",52-1013,9-17,24
"52-1014,19-24",52-1014,19-24,12
"52-1014,9-17",52-1014,9-17,12
"52-1015,19-24",52-1015,19-24,36
"52-1015,9-17",52-1015,9-17,12
"52-104,0-7",52-104,0-7,12
"52-104,9-17",52-104,9-17,12
"52-114,19-24",52-114,19-24,12
"52-114,9-17",52-114,9-17,12
"52-127,9-17",52-127,9-17,12
"52-128,0-7",52-128,0-7,12
"52-128,9-17",52-128,9-17,12
"52-129,7-9",52-129,7-9,12
"52-139,9-17",52-139,9-17,12
"52-142,9-17",52-142,9-17,9
"52-144,9-17",52-144,9-17,12
"52-149,9-17",52-149,9-17,12
"52-151,17-19",52-151,17-19,12
"52-154,17-19",52-154,17-19,12
"52-156,9-17",52-156,9-17,12
"52-159,7-9",52-159,7-9,12
"52-159,9-17",52-159,9-17,12
"52-160,19-24",52-160,19-24,36
"52-160,9-17",52-160,9-17,24
"52-164,0-7",52-164,0-7,12
"52-164,17-19",52-164,17-19,12
"52-164,9-17",52-164,9-17,12
"52-165,0-7",52-165,0-7,24
"52-165,19-24",52-165,19-24,12
"52-165,9-17",52-165,9-17,24
"52-169,9-17",52-169,9-17,12
"52-171,17-19",52-171,17-19,12
"52-171,19-24",52-171,19-24,12
"52-173,17-19",52-173,17-19,12
"52-179,0-7",52-179,0-7,12
"52-18,19-24",52-18,19-24,12
"52-18,9-17",52-18,9-17,12
"52-181,17-19",52-181,17-19,12
"52-181,19-24",52-181,19-24,36
"52-181,9-17",52-181,9-17,12
"52-193,17-19",52-193,17-19,12
"52-195,17-19",52-195,17-19,12
"52-197,0-7",52-197,0-7,12
"52-198,0-7",52-198,0-7,12
"52-199,9-17",52-199,9-17,12
"52-200,17-19",52-200,17-19,12
"52-201,19-24",52-201,19-24,12
"52-203,19-24",52-203,19-24,12
"52-203,9-17",52-203,9-17,24
"52-204,19-24",52-204,19-24,12
"52-21,7-9",52-21,7-9,24
"52-22,7-9",52-22,7-9,12
"52-24,0-7",52-24,0-7,12
"52-24,9-17",52-24,9-17,12
"52-25,17-19",52-25,17-19,12
"52-3,19-24",52-3,19-24,36
"52-3,9-17",52-3,9-17,36
"52-31,9-17",52-31,9-17,12
"52-32,9-17",52-32,9-17,12
"52-33,19-24",52-33,19-24,24
"52-33,9-17",52-33,9-17,12
"52-41,9-17",52-41,9-17,12
"52-43,0-7",52-43,0-7,24
"52-43,9-17",52-43,9-17,24
"52-46,19-24",52-46,19-24,12
"52-47,0-7",52-47,0-7,12
"52-47,17-19",52-47,17-19,12
"52-47,7-9",52-47,7-9,24
"52-47,9-17",52-47,9-17,36
"52-48,9-17",52-48,9-17,12
"52-54,0-7",52-54,0-7,12
"52-54,9-17",52-54,9-17,12
"52-55,19-24",52-55,19-24,12
"52-58,17-19",52-58,17-19,12
"52-59,0-7",52-59,0-7,12
"52-61,0-7",52-61,0-7,12
"52-61,17-19",52-61,17-19,12
"52-74,19-24",52-74,19-24,24
"52-83,9-17",52-83,9-17,12
"52-84,7-9",52-84,7-9,12
"52-85,19-24",52-85,19-24,36
"52-85,9-17",52-85,9-17,36
"52-86,9-17",52-86,9-17,12
"52-87,17-19",52-87,17-19,12
"52-90,0-7",52-90,0-7,12
"53-129,19-24",53-129,19-24,9
"53-144,0-7",53-144,0-7,12
"53-164,19-24",53-164,19-24,12
"53-200,0-7",53-200,0-7,12
"53-201,17-19",53-201,17-19,12
"53-23,17-19",53-23,17-19,12
"53-43,19-24",53-43,19-24,12
"53-6,0-7",53-6,0-7,12
"53-61,0-7",53-61,0-7,12
"53-90,9-17",53-90,9-17,12
"54-1,9-17",54-1,9-17,12
"54-1003,7-9",54-1003,7-9,12
"54-104,19-24",54-104,19-24,12
"54-132,9-17",54-132,9-17,12
"54-156,0-7",54-156,0-7,12
"54-171,17-19",54-171,17-19,12
"54-201,19-24",54-201,19-24,12
"54-3,7-9",54-3,7-9,12
"54-30,9-17",54-30,9-17,12
"54-45,17-19",54-45,17-19,12
"54-47,0-7",54-47,0-7,12
"54-47,9-17",54-47,9-17,24
"54-52,0-7",54-52,0-7,12
"54-54,9-17",54-54,9-17,12
"54-57,9-17",54-57,9-17,12
"54-62,9-17",54-62,9-17,12
"54-7,0-7",54-7,0-7,12
"54-71,0-7",54-71,0-7,12
"54-87,7-9",54-87,7-9,12
"54-98,9-17",54-98,9-17,12
"55-1009,9-17",55-1009,9-17,12
"55-104,0-7",55-104,0-7,12
"55-104,19-24",55-104,19-24,12
"55-104,9-17",55-104,9-17,24
"55-108,9-17",55-108,9-17,12
"55-156,19-24",55-156,19-24,12
"55-164,9-17",55-164,9-17,12
"55-17,9-17",55-17,9-17,12
"55-179,9-17",55-179,9-17,12
"55-194,7-9",55-194,7-9,12
"55-196,0-7",55-196,0-7,12
"55-2,0-7",55-2,0-7,12
"55-2,9-17",55-2,9-17,12
"55-3,7-9",55-3,7-9,12
"55-52,17-19",55-52,17-19,12
"55-57,0-7",55-57,0-7,12
"55-59,9-17",55-59,9-17,12
"55-65,0-7",55-65,0-7,12
"55-7,0-7",55-7,0-7,12
"55-7,19-24",55-7,19-24,12
"55-87,0-7",55-87,0-7,24
"55-87,7-9",55-87,7-9,12
"56-1004,0-7",56-1004,0-7,12
"56-47,0-7",56-47,0-7,12
"56-47,19-24",56-47,19-24,12
"56-71,0-7",56-71,0-7,24
"58-1015,19-24",58-1015,19-24,12
"58-179,9-17",58-179,9-17,12
"58-21,0-7",58-21,0-7,12
"58-3,17-19",58-3,17-19,12
"58-52,19-24",58-52,19-24,12
"58-52,9-17",58-52,9-17,12
"58-7,7-9",58-7,7-9,12
"58-73,0-7",58-73,0-7,12
"58-8,19-24",58-8,19-24,12
"59-1,7-9",59-1,7-9,12
"59-1011,0-7",59-1011,0-7,12
"59-104,19-24",59-104,19-24,12
"59-142,0-7",59-142,0-7,12
"59-201,0-7",59-201,0-7,12
"59-21,0-7",59-21,0-7,12
"59-21,7-9",59-21,7-9,24
"59-3,9-17",59-3,9-17,12
"59-37,0-7",59-37,0-7,12
"59-47,17-19",59-47,17-19,12
"59-5,7-9",59-5,7-9,12
"59-63,9-17",59-63,9-17,24
"59-7,0-7",59-7,0-7,12
"59-79,0-7",59-79,0-7,24
"6-1,9-17",6-1,9-17,24
"6-1001,0-7",6-1001,0-7,12
"6-1009,19-24",6-1009,19-24,12
"6-1013,0-7",6-1013,0-7,24
"6-104,7-9",6-104,7-9,12
"6-115,7-9",6-115,7-9,12
"6-13,9-17",6-13,9-17,12
"6-2,17-19",6-2,17-19,12
"6-2,9-17",6-2,9-17,24
"6-200,0-7",6-200,0-7,12
"6-22,19-24",6-22,19-24,12
"6-29,19-24",6-29,19-24,12
"6-30,7-9",6-30,7-9,12
"6-46,9-17",6-46,9-17,12
"6-7,0-7",6-7,0-7,12
"6-7,17-19",6-7,17-19,12
"6-7,9-17",6-7,9-17,12
"6-83,17-19",6-83,17-19,12
"6-84,17-19",6-84,17-19,12
"6-84,7-9",6-84,7-9,36
"6-85,0-7",6-85,0-7,12
"6-85,19-24",6-85,19-24,24
"6-86,9-17",6-86,9-17,12
"6-89,9-17",6-89,9-17,12
"61-1,19-24",61-1,19-24,12
"61-1005,9-17",61-1005,9-17,4
"61-1009,0-7",61-1009,0-7,12
"61-1011,9-17",61-1011,9-17,12
"61-104,7-9",61-104,7-9,12
"61-104,9-17",61-104,9-17,24
"61-123,9-17",61-123,9-17,12
"61-154,19-24",61-154,19-24,12
"61-160,19-24",61-160,19-24,12
"61-161,7-9",61-161,7-9,12
"61-163,7-9",61-163,7-9,12
"61-164,7-9",61-164,7-9,24
"61-165,9-17",61-165,9-17,12
"61-17,9-17",61-17,9-17,12
"61-171,0-7",61-171,0-7,12
"61-172,19-24",61-172,19-24,12
"61-181,17-19",61-181,17-19,12
"61-181,9-17",61-181,9-17,12
"61-182,0-7",61-182,0-7,12
"61-185,19-24",61-185,19-24,12
"61-198,0-7",61-198,0-7,12
"61-2,0-7",61-2,0-7,12
"61-2,9-17",61-2,9-17,24
"61-200,0-7",61-200,0-7,12
"61-201,17-19",61-201,17-19,12
"61-201,9-17",61-201,9-17,36
"61-202,17-19",61-202,17-19,12
"61-202,9-17",61-202,9-17,12
"61-203,17-19",61-203,17-19,12
"61-207,9-17",61-207,9-17,12
"61-21,0-7",61-21,0-7,12
"61-22,0-7",61-22,0-7,12
"61-3,17-19",61-3,17-19,24
"61-3,7-9",61-3,7-9,12
"61-3,9-17",61-3,9-17,12
"61-32,7-9",61-32,7-9,12
"61-47,7-9",61-47,7-9,12
"61-47,9-17",61-47,9-17,12
"61-65,19-24",61-65,19-24,12
"61-68,9-17",61-68,9-17,12
"62-1,0-7",62-1,0-7,12
"62-1013,7-9",62-1013,7-9,12
"62-104,7-9",62-104,7-9,12
"62-156,7-9",62-156,7-9,12
"62-156,9-17",62-156,9-17,12
"62-172,19-24",62-172,19-24,12
"62-199,0-7",62-199,0-7,12
"62-2,9-17",62-2,9-17,12
"62-200,9-17",62-200,9-17,12
"62-201,17-19",62-201,17-19,12
"62-201,19-24",62-201,19-24,12
"62-203,9-17",62-203,9-17,12
"62-206,17-19",62-206,17-19,12
"62-21,0-7",62-21,0-7,12
"62-21,7-9",62-21,7-9,12
"62-3,17-19",62-3,17-19,36
"62-3,19-24",62-3,19-24,12
"62-3,7-9",62-3,7-9,12
"62-3,9-17",62-3,9-17,24
"62-39,9-17",62-39,9-17,12
"62-43,19-24",62-43,19-24,12
"62-47,0-7",62-47,0-7,24
"62-47,7-9",62-47,7-9,12
"62-52,9-17",62-52,9-17,12
"62-59,19-24",62-59,19-24,12
"62-62,9-17",62-62,9-17,12
"62-85,19-24",62-85,19-24,12
"62-89,0-7",62-89,0-7,12
"62-89,9-17",62-89,9-17,12
"62-98,9-17",62-98,9-17,12
"63-1008,19-24",63-1008,19-24,12
"63-1013,0-7",63-1013,0-7,12
"63-110,0-7",63-110,0-7,12
"63-164,19-24",63-164,19-24,12
"63-164,7-9",63-164,7-9,12
"63-196,0-7",63-196,0-7,12
"63-201,17-19",63-201,17-19,12
"63-205,17-19",63-205,17-19,12
"63-3,9-17",63-3,9-17,12
"63-43,9-17",63-43,9-17,12
"63-59,9-17",63-59,9-17,12
"63-64,9-17",63-64,9-17,24
"63-7,17-19",63-7,17-19,12
"63-70,7-9",63-70,7-9,12
"63-97,19-24",63-97,19-24,12
"64-1011,19-24",64-1011,19-24,12
"64-1015,17-19",64-1015,17-19,12
"64-104,9-17",64-104,9-17,12
"64-129,7-9",64-129,7-9,6
"64-142,0-7",64-142,0-7,24
"64-199,0-7",64-199,0-7,24
"64-201,9-17",64-201,9-17,6
"64-203,0-7",64-203,0-7,12
"64-32,19-24",64-32,19-24,12
"64-58,19-24",64-58,19-24,12
"64-63,7-9",64-63,7-9,12
"64-7,9-17",64-7,9-17,12
"64-76,17-19",64-76,17-19,24
"65-1013,9-17",65-1013,9-17,12
"65-142,7-9",65-142,7-9,12
"65-159,7-9",65-159,7-9,12
"65-180,0-7",65-180,0-7,12
"65-199,7-9",65-199,7-9,12
"65-203,17-19",65-203,17-19,24
"65-203,9-17",65-203,9-17,24
"65-204,19-24",65-204,19-24,12
"65-206,17-19",65-206,17-19,12
"65-3,19-24",65-3,19-24,24
"65-3,7-9",65-3,7-9,36
"65-3,9-17",65-3,9-17,36
"65-33,9-17",65-33,9-17,12
"65-47,9-17",65-47,9-17,12
"66-104,9-17",66-104,9-17,12
"66-18,0-7",66-18,0-7,12
"66-90,17-19",66-90,17-19,12
"66-98,9-17",66-98,9-17,12
"67-1008,17-19",67-1008,17-19,12
"67-67,17-19",67-67,17-19,24
"67-80,9-17",67-80,9-17,24
"67-81,19-24",67-81,19-24,12
"68-1,0-7",68-1,0-7,12
"68-1009,9-17",68-1009,9-17,12
"68-104,17-19",68-104,17-19,12
"68-140,0-7",68-140,0-7,12
"69-1009,19-24",69-1009,19-24,12
"69-104,7-9",69-104,7-9,12
"69-169,9-17",69-169,9-17,12
"69-181,9-17",69-181,9-17,12
"69-35,9-17",69-35,9-17,12
"69-39,19-24",69-39,19-24,12
"69-62,9-17",69-62,9-17,12
"69-63,9-17",69-63,9-17,24
"69-71,7-9",69-71,7-9,12
"69-71,9-17",69-71,9-17,12
"7-1,0-7",7-1,0-7,12
"7-1,17-19",7-1,17-19,36
"7-1,19-24",7-1,19-24,48
"7-1,7-9",7-1,7-9,24
"7-1,9-17",7-1,9-17,84
"7-10,17-19",7-10,17-19,72
"7-10,19-24",7-10,19-24,72
"7-10,7-9",7-10,7-9,84
"7-10,9-17",7-10,9-17,108
"7-1001,19-24",7-1001,19-24,12
"7-1001,9-17",7-1001,9-17,9
"7-1002,9-17",7-1002,9-17,12
"7-1003,0-7",7-1003,0-7,12
"7-1003,17-19",7-1003,17-19,12
"7-1003,7-9",7-1003,7-9,12
"7-1003,9-17",7-1003,9-17,24
"7-1004,17-19",7-1004,17-19,12
"7-1008,17-19",7-1008,17-19,12
"7-1008,19-24",7-1008,19-24,12
"7-1008,7-9",7-1008,7-9,24
"7-1008,9-17",7-1008,9-17,12
"7-1009,0-7",7-1009,0-7,12
"7-1009,17-19",7-1009,17-19,12
"7-1009,19-24",7-1009,19-24,24
"7-1009,7-9",7-1009,7-9,12
"7-1009,9-17",7-1009,9-17,48
"7-101,0-7",7-101,0-7,12
"7-101,19-24",7-101,19-24,12
"7-1010,0-7",7-1010,0-7,12
"7-1011,7-9",7-1011,7-9,12
"7-1011,9-17",7-1011,9-17,12
"7-1013,17-19",7-1013,17-19,24
"7-1013,19-24",7-1013,19-24,60
"7-1013,7-9",7-1013,7-9,12
"7-1013,9-17",7-1013,9-17,108
"7-1015,19-24",7-1015,19-24,12
"7-1015,9-17",7-1015,9-17,24
"7-104,19-24",7-104,19-24,12
"7-113,19-24",7-113,19-24,12
"7-113,9-17",7-113,9-17,12
"7-114,19-24",7-114,19-24,12
"7-114,9-17",7-114,9-17,12
"7-115,9-17",7-115,9-17,12
"7-116,19-24",7-116,19-24,12
"7-117,19-24",7-117,19-24,12
"7-128,0-7",7-128,0-7,12
"7-128,9-17",7-128,9-17,12
"7-131,0-7",7-131,0-7,12
"7-131,17-19",7-131,17-19,12
"7-131,9-17",7-131,9-17,12
"7-142,17-19",7-142,17-19,12
"7-142,19-24",7-142,19-24,24
"7-142,9-17",7-142,9-17,24
"7-144,0-7",7-144,0-7,12
"7-144,19-24",7-144,19-24,24
"7-144,9-17",7-144,9-17,22
"7-147,0-7",7-147,0-7,12
"7-164,19-24",7-164,19-24,12
"7-17,19-24",7-17,19-24,36
"7-17,7-9",7-17,7-9,12
